"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate,Footnote Number
107691,Not Available,11,Not Available,11,92,11,Not Available,11,86,11,Not Available,11,77,11,Not Available,11,86,11,68,11,30,11,13,11,11
107694,Not Available,9,Not Available,9,78,9,Not Available,9,85,9,Not Available,9,77,9,Not Available,9,62,9,37,9,7,9,14,9,9
107697,3,,3,,87,,2,,80,,1,,69,,4,,83,,76,,93,,20,,
107699,Not Available,11,Not Available,11,87,11,Not Available,11,91,11,Not Available,11,82,11,Not Available,11,99,11,83,11,11,11,31,11,11
107700,4,,5,,92,,4,,89,,2,,78,,3,,80,,75,,82,,24,,
107702,4,,5,,90,,5,,91,,2,,78,,5,,87,,80,,108,,41,,
107703,Not Available,11,Not Available,11,85,11,Not Available,11,81,11,Not Available,11,83,11,Not Available,11,86,11,72,11,30,11,38,11,11
107704,1,11,1,11,76,11,1,11,78,11,1,11,67,11,1,11,73,11,58,11,49,11,20,11,11
107705,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
107707,Not Available,11,Not Available,11,88,11,Not Available,11,89,11,Not Available,11,72,11,Not Available,11,89,11,78,11,25,11,11,11,11
107708,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
107710,4,,4,,88,,4,,87,,3,,80,,4,,86,,78,,732,,38,,
107711,4,,5,,95,,4,,89,,3,,80,,5,,88,,82,,87,,27,,
107712,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
107713,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
107714,4,,4,,88,,4,,87,,2,,78,,4,,86,,79,,300,,33,,
107716,3,,3,,87,,2,,80,,3,,81,,3,,84,,74,,99,,34,,
107717,3,,3,,83,,3,,78,,3,,81,,4,,81,,65,,134,,25,,
107718,5,,5,,91,,5,,90,,4,,85,,5,,92,,82,,205,,39,,
107720,5,,5,,93,,5,,91,,4,,86,,5,,95,,89,,149,,38,,
107723,4,,4,,90,,4,,89,,3,,82,,4,,84,,84,,84,,23,,
107725,4,,4,,89,,3,,84,,3,,82,,4,,83,,77,,260,,18,,
107728,5,,4,,90,,5,,92,,5,,88,,5,,83,,86,,122,,37,,
107730,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
107736,5,,4,,91,,5,,91,,5,,91,,4,,86,,80,,132,,39,,
107739,4,,4,,89,,4,,86,,3,,81,,4,,84,,80,,226,,24,,
107742,3,,3,,88,,3,,84,,3,,82,,3,,81,,76,,117,,27,,
107743,Not Available,9,Not Available,9,67,9,Not Available,9,83,9,Not Available,9,96,9,Not Available,9,92,9,43,9,4,9,5,9,9
107746,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
107747,5,,4,,90,,5,,89,,4,,85,,5,,89,,89,,281,,49,,
107749,3,,3,,86,,3,,84,,2,,75,,3,,78,,72,,503,,20,,
107752,4,11,4,11,88,11,5,11,87,11,2,11,75,11,5,11,89,11,82,11,68,11,37,11,11
107754,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
107761,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
107762,2,,2,,83,,1,,75,,1,,53,,2,,72,,64,,219,,15,,
107767,Not Available,11,Not Available,11,95,11,Not Available,11,91,11,Not Available,11,85,11,Not Available,11,97,11,87,11,38,11,19,11,11
107768,4,,4,,87,,3,,82,,4,,83,,4,,87,,77,,232,,26,,
107769,Not Available,11,Not Available,11,81,11,Not Available,11,83,11,Not Available,11,89,11,Not Available,11,81,11,81,11,13,11,17,11,11
107770,Not Available,11,Not Available,11,86,11,Not Available,11,88,11,Not Available,11,71,11,Not Available,11,83,11,83,11,11,11,11,11,11
107772,Not Available,9,Not Available,9,89,9,Not Available,9,77,9,Not Available,9,87,9,Not Available,9,92,9,92,9,10,9,15,9,9
107773,3,11,4,11,91,11,3,11,84,11,1,11,62,11,4,11,87,11,79,11,45,11,15,11,11
107774,4,,4,,89,,4,,90,,4,,85,,5,,88,,87,,132,,32,,
107775,3,,3,,86,,2,,81,,2,,75,,3,,82,,77,,101,,15,,
107776,4,,5,,91,,4,,85,,3,,82,,5,,87,,81,,115,,18,,
107778,4,,4,,88,,2,,82,,5,,87,,3,,82,,77,,197,,29,,
107779,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
107780,4,,4,,90,,3,,84,,3,,81,,5,,88,,82,,110,,18,,
